Ozan,1284,6.6,4.91667,46.3833,674,0.47,0.53,0.333,0.48,0.18,0.09,19101.2
Cormoranche-sur-Saône,1123,9.85,4.83333,46.2333,1118,0.534,0.466,0.283,0.55,0.16,0.08,21834.28571
Plagne,1298,6.2,5.73333,46.1833,126,0.545,0.455,0.182,0.68,0.14,0.13,27129.04762
Tossiat,1422,10.17,5.31667,46.1333,1408,0.516,0.484,0.3,0.55,0.15,0.07,22963.88889
Pouillat,1309,6.23,5.43333,46.3333,93,0.625,0.375,0.292,0.5,0.21,0.02,0
Torcieu,1421,10.72,5.4,45.9167,749,0.504,0.496,0.289,0.52,0.19,0.11,21436.66667
Replonges,1320,16.6,4.88333,46.3,3732,0.524,0.476,0.288,0.54,0.17,0.09,22022
Corcelles,1119,14.16,5.58333,46.0333,0,0,0,0,0,0,0,20483.13333
Péron,1288,26.01,5.93333,46.2,2537,0.534,0.466,0.305,0.6,0.09,0.08,33371.11111
Relevant,1319,12.38,4.95,46.0833,472,0.484,0.516,0.308,0.57,0.12,0.07,22125.66667
Chaveyriat,1096,16.87,5.06667,46.1833,1019,0.535,0.465,0.314,0.58,0.11,0.07,20754.28571
Vaux-en-Bugey,1431,8.22,5.35,45.9167,1248,0.52,0.48,0.32,0.5,0.18,0.09,21767.33333
Maillat,1228,11.31,5.55,46.1333,662,0.476,0.524,0.303,0.53,0.17,0.07,22103
Faramans,1156,11.22,5.11667,45.9,792,0.477,0.523,0.321,0.57,0.11,0.04,23308.92857
Béon,1039,10.3,5.75,45.8333,481,0.513,0.487,0.256,0.55,0.2,0.14,19799.04762
Saint-Bernard,1339,3.15,4.73723,45.945,1458,0.496,0.504,0.271,0.49,0.24,0.07,27924.34615
Rossillon,1329,8.07,5.6,45.8333,151,0.567,0.433,0.1,0.73,0.17,0.22,18353.5
Pont-d'Ain,1304,11.22,5.33333,46.05,2844,0.489,0.511,0.311,0.47,0.22,0.13,20349.52381
Nantua,1269,12.79,5.61667,46.15,3696,0.473,0.527,0.327,0.48,0.2,0.17,16513.75
Chavannes-sur-Reyssouze,1094,16.55,5,46.4333,760,0.511,0.489,0.303,0.5,0.2,0.1,20268.66667
Neuville-les-Dames,1272,26.59,5,46.1667,1511,0.516,0.484,0.284,0.55,0.16,0.09,20980.66667
